*    FB  Tele Strip  Intertcept   	Slope
     1     0    20   -0.981902    0.00702532
     1     0    21   -1.037716    0.00700596
     1     0    22   -1.028364    0.00700379
     1     0    23   -0.960264    0.00700024
     1     0    24   -1.047372    0.00699901
     1     0    25   -1.157566    0.00705413
     1     0    26   -1.110296    0.00703994
     1     0    27   -1.275532    0.00706619
     1     0    28   -1.040352    0.00699056
     1     0    29   -1.216276    0.00705619
     1     0    30   -1.090679    0.00700798
     1     0    31   -1.170177    0.00697728
     1     1     0   -1.054828    0.00732272
     1     1     1   -1.183154    0.00715558
     1     1     2   -1.141130    0.00735734
     1     1     3   -1.091782    0.00712609
     1     1     4   -1.059581    0.00736530
     1     1     5   -1.083290    0.00711155
     1     1     6   -1.066726    0.00738096
     1     1     7   -1.176129    0.00714325
     1     1     8   -1.178144    0.00737008
     1     1     9   -1.048043    0.00710407
     1     1    10   -1.056276    0.00739482
     1     1    11   -1.097784    0.00710741
     1     1    12   -1.072404    0.00736197
     1     1    13   -1.164753    0.00714219
     1     1    14   -1.089434    0.00735987
     1     1    15   -1.262811    0.00710854
     1     1    16   -0.940780    0.00739815
     1     1    17   -0.940780    0.00739815
     1     1    18   -1.127253    0.00736492
     1     1    19   -1.102551    0.00710672
     1     1    20   -1.170062    0.00739627
     1     1    21   -1.084662    0.00705337
     1     1    22   -1.237019    0.00736541
     1     1    23   -1.236949    0.00707549
     1     1    24   -1.148738    0.00738000
     1     1    25   -1.149268    0.00705964
     1     1    26   -1.112295    0.00736581
     1     1    27   -1.140026    0.00703313
     1     1    28   -1.163723    0.00738333
     1     1    29   -1.082777    0.00701674
     1     1    30   -1.100428    0.00737255
     1     1    31   -1.176519    0.00709525
     1     2     0   -1.173698    0.00720130
     1     2     1   -1.215979    0.00732446
     1     2     2   -1.049978    0.00722849
     1     2     3   -1.099266    0.00737335
     1     2     4   -1.134125    0.00727665
     1     2     5   -1.133072    0.00736363
     1     2     6   -1.117208    0.00723059
     1     2     7   -1.209195    0.00734828
     1     2     8   -1.124751    0.00726401
     1     2     9   -1.271141    0.00738482
     1     2    10   -1.003242    0.00726846
     1     2    11   -1.176724    0.00737840
     1     2    12   -1.095030    0.00721172
     1     2    13   -1.176203    0.00739956
     1     2    14   -1.114217    0.00722114
     1     2    15   -1.267629    0.00736311
     1     2    16   -1.111396    0.00724627
     1     2    17   -1.167744    0.00739802
     1     2    18   -0.976244    0.00723366
     1     2    19   -1.201602    0.00739941
     1     2    20   -1.106344    0.00723343
     1     2    21   -1.089483    0.00741345
